"Plot Title: HOBO 1A Chamber 1"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561439, SEN S/N: 10561439)","RH, % (LGR S/N: 10561439, SEN S/N: 10561439)","DewPt, °C (LGR S/N: 10561439, SEN S/N: 10561439)","Button Down (LGR S/N: 10561439, SEN S/N: 10561439)","Button Up (LGR S/N: 10561439, SEN S/N: 10561439)","Stopped (LGR S/N: 10561439, SEN S/N: 10561439)","End Of File (LGR S/N: 10561439, SEN S/N: 10561439)"
140,07/21/2014 10:49:00 AM,22.685,69.210,16.775,,,,
141,07/21/2014 10:50:00 AM,22.709,69.214,16.799,,,,
142,07/21/2014 10:51:00 AM,22.709,69.303,16.819,,,,
143,07/21/2014 10:52:00 AM,22.685,68.913,16.707,,,,
144,07/21/2014 10:53:00 AM,22.685,69.210,16.775,,,,
145,07/21/2014 10:54:00 AM,22.685,69.299,16.795,,,,
146,07/21/2014 10:55:00 AM,22.685,69.328,16.802,,,,
147,07/21/2014 10:56:00 AM,22.685,69.506,16.842,,,,
148,07/21/2014 10:57:00 AM,22.709,69.274,16.812,,,,
149,07/21/2014 10:58:00 AM,22.709,69.096,16.772,,,,
150,07/21/2014 10:59:00 AM,22.709,69.451,16.853,,,,
151,07/21/2014 11:00:00 AM,22.709,69.392,16.839,,,,
152,07/21/2014 11:01:00 AM,22.733,69.219,16.823,,,,
153,07/21/2014 11:02:00 AM,22.709,68.947,16.738,,,,
154,07/21/2014 11:03:00 AM,22.685,68.913,16.707,,,,
155,07/21/2014 11:04:00 AM,22.685,69.180,16.768,,,,
156,07/21/2014 11:05:00 AM,22.685,69.062,16.741,,,,
157,07/21/2014 11:06:00 AM,22.685,68.854,16.694,,,,
158,07/21/2014 11:07:00 AM,22.661,69.057,16.717,,,,
159,07/21/2014 11:08:00 AM,22.661,68.850,16.670,,,,
160,07/21/2014 11:09:00 AM,22.637,68.994,16.680,,,,
161,07/21/2014 11:10:00 AM,22.637,69.260,16.741,,,,
162,07/21/2014 11:11:00 AM,22.637,69.438,16.781,,,,
163,07/21/2014 11:12:00 AM,22.661,69.146,16.738,,,,
164,07/21/2014 11:13:00 AM,22.637,69.023,16.687,,,,
165,07/21/2014 11:14:00 AM,22.637,69.231,16.734,,,,
166,07/21/2014 11:15:00 AM,22.661,69.117,16.731,,,,
167,07/21/2014 11:16:00 AM,22.637,68.994,16.680,,,,
168,07/21/2014 11:17:00 AM,22.637,68.964,16.673,,,,
169,07/21/2014 11:18:00 AM,22.613,69.049,16.669,,,,
170,07/21/2014 11:19:00 AM,22.613,69.197,16.703,,,,
171,07/21/2014 11:20:00 AM,22.613,69.137,16.690,,,,
172,07/21/2014 11:21:00 AM,22.637,69.408,16.774,,,,
173,07/21/2014 11:22:00 AM,22.637,69.112,16.707,,,,
174,07/21/2014 11:23:00 AM,22.637,69.231,16.734,,,,
175,07/21/2014 11:24:00 AM,22.637,69.083,16.700,,,,
176,07/21/2014 11:25:00 AM,22.613,69.019,16.663,,,,
177,07/21/2014 11:26:00 AM,22.613,69.375,16.744,,,,
178,07/21/2014 11:27:00 AM,22.613,69.108,16.683,,,,
179,07/21/2014 11:28:00 AM,22.637,69.349,16.761,,,,
180,07/21/2014 11:29:00 AM,22.661,69.383,16.792,,,,
181,07/21/2014 11:30:00 AM,22.661,69.176,16.744,,,,
182,07/21/2014 11:31:00 AM,22.661,69.265,16.765,,,,
183,07/21/2014 11:32:00 AM,22.661,69.057,16.717,,,,
184,07/21/2014 11:33:00 AM,22.661,69.265,16.765,,,,
185,07/21/2014 11:34:00 AM,22.685,69.388,16.815,,,,
186,07/21/2014 11:35:00 AM,22.685,68.795,16.680,,,,
187,07/21/2014 11:36:00 AM,22.685,68.913,16.707,,,,
188,07/21/2014 11:37:00 AM,22.661,68.790,16.656,,,,
189,07/21/2014 11:38:00 AM,22.637,68.964,16.673,,,,
190,07/21/2014 11:39:00 AM,22.637,68.994,16.680,,,,
191,07/21/2014 11:40:00 AM,22.637,68.934,16.666,,,,
192,07/21/2014 11:41:00 AM,22.613,68.841,16.622,,,,
193,07/21/2014 11:42:00 AM,22.613,68.871,16.629,,,,
194,07/21/2014 11:43:00 AM,22.589,68.955,16.625,,,,
195,07/21/2014 11:44:00 AM,22.589,69.281,16.700,,,,
196,07/21/2014 11:45:00 AM,22.613,69.493,16.771,,,,
